00:00-355.80645161290323
01:00-10.96774193548387
02:00-349.0322580645161
03:00-348.7096774193548
04:00-336.1290322580645
05:00-9.67741935483871
06:00-358.38709677419354
07:00-354.83870967741933
08:00-10.0
09:00-10.32258064516129
10:00-292.5806451612903
11:00-10.96774193548387
12:00-350.64516129032256
13:00-10.96774193548387
14:00-338.38709677419354
15:00-348.7096774193548
16:00-336.4516129032258
17:00-9.67741935483871
18:00-331.61290322580646
19:00-20.32258064516129
20:00-321.93548387096774
21:00-30.0
22:00-19.677419354838708
23:00-30.32258064516129
00:00-59.677419354838705
01:00-79.35483870967742
02:00-50.0
03:00-100.0
04:00-129.03225806451613
05:00-99.35483870967742
06:00-120.0
07:00-129.67741935483872
08:00-148.70967741935485
09:00-109.35483870967741
10:00-129.03225806451613
11:00-119.35483870967741
12:00-90.0
13:00-100.0
14:00-109.03225806451613
15:00-99.35483870967742
16:00-79.35483870967742
17:00-80.0
18:00-99.6774193548387
19:00-99.35483870967742
20:00-79.35483870967742
21:00-90.0
22:00-99.03225806451613
23:00-69.35483870967742
